nom_ent,ambito,rubro,mean,se,cv,confianza
San Luis Potosí,Rural,Vivienda,532.4116806134252,20.040266839774425,0.037640546910399794,Alta
San Luis Potosí,Urbano,Alimentos,5895.962218270307,122.94122138968662,0.02085176546903887,Alta
San Luis Potosí,Urbano,Gasto corriente,18671.76207728623,538.6216623430392,0.02884685762991058,Alta
San Luis Potosí,Urbano,NANV,11268.464645932294,442.6492839127206,0.039282129182746185,Alta
San Luis Potosí,Urbano,Vivienda,1507.3352130836277,58.94885493285599,0.03910799298071296,Alta
Sinaloa,Rural,Alimentos,4329.881488033894,169.96613366824693,0.03925422304004558,Alta
Sinaloa,Rural,Gasto corriente,11539.07894639381,317.721710066762,0.02753440820907602,Alta
Sinaloa,Rural,NANV,6113.370470481425,221.58322522266565,0.0362456727091195,Alta
Sinaloa,Rural,Vivienda,1095.8269878784904,65.90002758482376,0.060137255528270504,Alta
Sinaloa,Urbano,Alimentos,6027.405115580512,104.17943585388107,0.017284292967894747,Alta
Sinaloa,Urbano,Gasto corriente,17463.730818561813,300.8388346435277,0.017226492882252444,Alta
Sinaloa,Urbano,NANV,9642.979310336916,218.6314130663135,0.022672600036790367,Alta
Sinaloa,Urbano,Vivienda,1793.3463926443856,43.56818855500304,0.024294352019053837,Alta
Sonora,Rural,Alimentos,4127.403516983706,125.66082382511968,0.030445490320498692,Alta
Sonora,Rural,Gasto corriente,10032.871077872347,413.7543277089324,0.04123987286365854,Alta
Sonora,Rural,NANV,4997.628935739423,288.4471002013734,0.05771679008391533,Alta
Sonora,Rural,Vivienda,907.8386251492178,59.23198378973041,0.06524505804100887,Alta
Sonora,Urbano,Alimentos,5686.203282806071,116.9150442907524,0.020561179134112186,Alta
Sonora,Urbano,Gasto corriente,18013.980973563575,451.00383639817176,0.025036322457542427,Alta
Sonora,Urbano,NANV,10367.992608411147,346.9577908316767,0.03346431695468257,Alta
Sonora,Urbano,Vivienda,1959.7850823463584,59.81245755174059,0.03051990654002221,Alta
Tabasco,Rural,Alimentos,4426.863868074119,161.1874825825522,0.03641121285545107,Alta
Tabasco,Rural,Gasto corriente,9712.93373265235,444.1841058182888,0.045731199042886264,Alta
Tabasco,Rural,NANV,4969.397767902736,283.9231008876731,0.057134307646195696,Alta
Tabasco,Rural,Vivienda,316.67209667549423,28.302812967166176,0.08937577154506647,Alta
Tabasco,Urbano,Alimentos,5789.022380140496,129.9362833977356,0.02244528952651624,Alta
Tabasco,Urbano,Gasto corriente,15765.233878500754,580.2790637355944,0.03680751381220726,Alta
Tabasco,Urbano,NANV,8910.294010922293,499.5941331495193,0.05606932078078611,Alta
Tabasco,Urbano,Vivienda,1065.9174874379662,58.25028983240412,0.05464802906312591,Alta
Tamaulipas,Rural,Alimentos,3566.6424255949655,187.6434823797455,0.052610679734300524,Alta
Tamaulipas,Rural,Gasto corriente,9283.84916212996,452.6295184361705,0.04875451017477812,Alta
Tamaulipas,Rural,NANV,5011.175523172334,296.2373436502997,0.059115339760193855,Alta
Tamaulipas,Rural,Vivienda,706.0312133626616,47.47877878664619,0.06724742176838877,Alta
Tamaulipas,Urbano,Alimentos,5384.106502191977,103.62176256119592,0.01924586048195916,Alta
Tamaulipas,Urbano,Gasto corriente,15564.053092272334,354.92317547776565,0.022804032688245428,Alta
Tamaulipas,Urbano,NANV,8575.78627296792,288.6641512129224,0.033660371425397136,Alta
Tamaulipas,Urbano,Vivienda,1604.1603171124373,37.5456963091712,0.023405202029155782,Alta
Tlaxcala,Rural,Alimentos,4411.307081737057,188.18425660005312,0.042659523155651885,Alta
Tlaxcala,Rural,Gasto corriente,10699.093812873914,441.6359969904417,0.04127788808235644,Alta
Tlaxcala,Rural,NANV,5708.090400829677,271.0423923094081,0.047483899741673996,Alta
Tlaxcala,Rural,Vivienda,579.6963303071815,22.251168170944865,0.0383841797983333,Alta
Tlaxcala,Urbano,Alimentos,5170.001407215587,89.71779293409513,0.017353533561689016,Alta
Tlaxcala,Urbano,Gasto corriente,13665.0978913761,285.248516803297,0.020874238814148148,Alta
Tlaxcala,Urbano,NANV,7624.349665761974,220.02954807523216,0.028858795532857095,Alta
Tlaxcala,Urbano,Vivienda,870.7468183985385,26.495429318161264,0.03042839635853183,Alta
Veracruz,Rural,Alimentos,3725.8749812976207,94.18391277758525,0.02527833414979038,Alta
Veracruz,Rural,Gasto corriente,8571.709029718146,268.007851631372,0.031266559644312214,Alta
Veracruz,Rural,NANV,4349.997711296812,185.7496018171549,0.0427010803556905,Alta
Veracruz,Rural,Vivienda,495.83633712371244,23.54889896279764,0.047493290022675626,Alta
Veracruz,Urbano,Alimentos,5033.375050241573,100.50345818040923,0.019967408980498213,Alta
