nom_ent,cve_ent,componente,codigo,nombre_nodo,serie_api
Chiapas,7,alimentos,087,"Cilantro, epazote y perejil",897631
Chiapas,7,alimentos,095,Jugos o néctares envasados,897643
Chiapas,7,alimentos,096,Café soluble,897648
Chiapas,7,alimentos,099,Agua embotellada,897652
Chiapas,7,alimentos,100,Refrescos envasados,897653
Chiapas,7,alimentos,267,Pollos rostizados,897671
Chiapas,7,alimentos,269,Otros alimentos cocinados,897672
Chiapas,7,comidas_fuera,25,Alimentos cocinados fuera de casa,897667
Chiapas,7,nanv,general,Índice general,897530
Chiapas,7,vivienda,3,Vivienda,897738
Chihuahua,8,alimentos,001,Arroz,897982
Chihuahua,8,alimentos,004,Galletas,897977
Chihuahua,8,alimentos,008,Pan blanco,897971
Chihuahua,8,alimentos,009,Pan de caja,897972
Chihuahua,8,alimentos,010,Pan dulce,897973
Chihuahua,8,alimentos,011,Pasta para sopa,897979
Chihuahua,8,alimentos,014,Tortilla de maíz,897968
Chihuahua,8,alimentos,015,Tortillas de harina de trigo,897980
Chihuahua,8,alimentos,016,Tostadas,897969
Chihuahua,8,alimentos,017,Carne de cerdo,897988
Chihuahua,8,alimentos,018,Carne de res,897991
Chihuahua,8,alimentos,019,"Carnes secas, procesadas y otros embutidos",897994
Chihuahua,8,alimentos,020,Chorizo,897995
Chihuahua,8,alimentos,021,Jamón,897996
Chihuahua,8,alimentos,022,Pollo,897986
Chihuahua,8,alimentos,026,Atún y sardina en lata,898004
Chihuahua,8,alimentos,030,Crema y otros productos a base de leche,898015
Chihuahua,8,alimentos,031,Huevo,898025
Chihuahua,8,alimentos,034,Leche pasteurizada y fresca,898008
Chihuahua,8,alimentos,037,Queso fresco,898017
Chihuahua,8,alimentos,039,Queso Oaxaca y asadero,898019
Chihuahua,8,alimentos,041,Yogurt,898021
Chihuahua,8,alimentos,042,Aceites y grasas vegetales comestibles,898028
Chihuahua,8,alimentos,045,Aguacate,898031
Chihuahua,8,alimentos,048,Limón,898034
Chihuahua,8,alimentos,049,Manzana,898035
Chihuahua,8,alimentos,055,Plátanos,898041
Chihuahua,8,alimentos,060,Calabacita,898046
Chihuahua,8,alimentos,061,Cebolla,898047
Chihuahua,8,alimentos,062,Chayote,898048
Chihuahua,8,alimentos,065,Chile serrano,898050
Chihuahua,8,alimentos,068,Frijol,898064
Chihuahua,8,alimentos,069,Frijol procesado,898069
Chihuahua,8,alimentos,070,Jitomate,898052
Chihuahua,8,alimentos,071,Lechuga y col,898053
Chihuahua,8,alimentos,072,Nopales,898054
Chihuahua,8,alimentos,073,Papa y otros tubérculos,898055
Chihuahua,8,alimentos,074,Papas fritas,898091
Chihuahua,8,alimentos,075,Pepino,898056
Chihuahua,8,alimentos,076,Tomate verde,898057
Chihuahua,8,alimentos,078,Zanahoria,898058
Chihuahua,8,alimentos,081,Otros chiles frescos,898060
Chihuahua,8,alimentos,082,Azúcar,898076
Chihuahua,8,alimentos,087,"Cilantro, epazote y perejil",898061
Chihuahua,8,alimentos,095,Jugos o néctares envasados,898073
