nom_ent,cve_ent,ambito,date,componente,valor
Aguascalientes,1,Rural,2024-04-01,NANV,3712.56088211346
Aguascalientes,1,Rural,2024-05-01,Alimentos,2855.12471644927
Aguascalientes,1,Rural,2024-05-01,Vivienda,3477.81864150022
Aguascalientes,1,Rural,2024-05-01,NANV,3718.97728003307
Aguascalientes,1,Rural,2024-06-01,Alimentos,2895.33392619589
Aguascalientes,1,Rural,2024-06-01,Vivienda,3486.96285479262
Aguascalientes,1,Rural,2024-06-01,NANV,3732.27822507673
Aguascalientes,1,Rural,2024-07-01,Alimentos,2978.86151827289
Aguascalientes,1,Rural,2024-07-01,Vivienda,3511.16453930652
Aguascalientes,1,Rural,2024-07-01,NANV,3779.61637110167
Aguascalientes,1,Rural,2024-08-01,Alimentos,2907.63517211525
Aguascalientes,1,Rural,2024-08-01,Vivienda,3514.09068756009
Aguascalientes,1,Rural,2024-08-01,NANV,3774.43919166439
Aguascalientes,1,Rural,2024-09-01,Alimentos,2869.75353831905
Aguascalientes,1,Rural,2024-09-01,Vivienda,3516.55962514904
Aguascalientes,1,Rural,2024-09-01,NANV,3778.6800726928
Aguascalientes,1,Rural,2024-10-01,Alimentos,2873.03857112677
Aguascalientes,1,Rural,2024-10-01,Vivienda,3515.21847386615
Aguascalientes,1,Rural,2024-10-01,NANV,3778.04669435739
Aguascalientes,1,Rural,2024-11-01,Alimentos,2885.48336285866
Aguascalientes,1,Rural,2024-11-01,Vivienda,3531.43421210468
Aguascalientes,1,Rural,2024-11-01,NANV,3777.66115971844
Aguascalientes,1,Rural,2024-12-01,Alimentos,2874.54213781418
Aguascalientes,1,Rural,2024-12-01,Vivienda,3535.39670453139
Aguascalientes,1,Rural,2024-12-01,NANV,3796.16682238788
Aguascalientes,1,Rural,2025-01-01,Alimentos,2926.42472914802
Aguascalientes,1,Rural,2025-01-01,Vivienda,3552.43542196624
Aguascalientes,1,Rural,2025-01-01,NANV,3810.32145127492
Aguascalientes,1,Rural,2025-02-01,Alimentos,2917.08578026971
Aguascalientes,1,Rural,2025-02-01,Vivienda,3576.85047145696
Aguascalientes,1,Rural,2025-02-01,NANV,3817.0132310795
Aguascalientes,1,Rural,2025-03-01,Alimentos,2981.26758134148
Aguascalientes,1,Rural,2025-03-01,Vivienda,3595.65707012834
Aguascalientes,1,Rural,2025-03-01,NANV,3832.32446388337
Aguascalientes,1,Rural,2025-04-01,Alimentos,3011.31272760616
