date,ambito,canasta_alimentos,vivienda_mensual,NANV,alimentos_familiar,nanv_familiar,ingreso_digno_familiar,salario_digno
2021-03-01,Urbano,2277.64449410914,5733.2536149595,4105.46677542718,9110.57797643658,16421.8671017087,32828.98362776,16414.49181388
2021-04-01,Urbano,2304.48601343869,5674.20507694876,4118.9039699454,9217.94405375476,16475.6158797816,32936.1532610094,16468.0766305047
2021-05-01,Urbano,2327.60230589651,5576.03046418655,4127.31139493085,9310.40922358606,16509.2455797234,32965.4695308708,16482.7347654354
2021-06-01,Urbano,2326.84712611882,5606.63301084255,4149.30286901943,9307.3885044753,16597.2114760777,33086.7946409653,16543.3973204827
2021-07-01,Urbano,2347.62657412652,5655.56627755928,4173.68073011261,9390.50629650609,16694.7229204504,33327.8352692416,16663.9176346208
2021-08-01,Urbano,2371.64270186442,5570.84446215256,4181.64759134336,9486.57080745769,16726.5903653734,33373.2059167329,16686.6029583664
2021-09-01,Urbano,2378.90583247458,5611.35689388341,4207.42057099308,9515.62332989833,16829.6822839723,33554.4956331418,16777.2478165709
2021-10-01,Urbano,2386.96592759132,5744.0877380206,4242.66567136876,9547.86371036528,16970.662685475,33875.744840554,16937.872420277
2021-11-01,Urbano,2437.17040285011,5857.51227755602,4291.23782532399,9748.68161140045,17164.951301296,34409.7024497651,17204.8512248825
2021-12-01,Urbano,2459.03437847308,5792.04542019628,4306.80441132325,9836.13751389233,17227.217645293,34498.1706083507,17249.0853041754
2022-01-01,Urbano,2511.952889487,5805.2928313326,4332.28368180317,10047.811557948,17329.1347272127,34841.3510723179,17420.675536159
2022-02-01,Urbano,2552.2759983912,5853.35320661787,4368.22634145712,10209.1039935648,17472.9053658285,35212.1306943117,17606.0653471558
2022-03-01,Urbano,2577.02448771731,5919.28218297073,4411.47501670978,10308.0979508693,17645.9000668391,35566.9442107131,17783.4721053565
2022-04-01,Urbano,2593.06619131232,5863.00635891875,4435.33888675581,10372.2647652493,17741.3555470232,35675.4580047508,17837.7290023754
2022-05-01,Urbano,2609.62534404409,5767.14234112218,4443.15889340167,10438.5013761764,17772.6355736067,35677.1932554505,17838.5966277252
2022-06-01,Urbano,2645.38151592411,5780.95456436122,4480.68023984327,10581.5260636964,17922.7209593731,35999.4616668023,17999.7308334011
2022-07-01,Urbano,2671.96874290188,5803.85512779843,4513.86937603037,10687.8749716075,18055.4775041215,36274.5679837038,18137.2839918519
2022-08-01,Urbano,2683.69940049042,5804.93340544906,4545.25954355246,10734.7976019617,18181.0381742099,36456.8076407016,18228.4038203508
2022-09-01,Urbano,2711.61378711092,5792.5588857442,4573.45562385301,10846.4551484437,18293.822495412,36679.4783560799,18339.73917804
2022-10-01,Urbano,2720.55706223468,5823.26412550979,4599.3387444414,10882.2282489387,18397.3549777656,36857.9897198248,18428.9948599124
2022-11-01,Urbano,2725.04134039554,5919.33352952552,4625.80928336938,10900.1653615822,18503.2371334775,37088.8728258145,18544.4364129073
2022-12-01,Urbano,2741.66176375667,5899.46241282104,4643.46854720345,10966.6470550267,18573.8741888138,37211.9828394946,18605.9914197473
2023-01-01,Urbano,2781.59299445722,5920.36046062136,4674.96885566421,11126.3719778289,18699.8754226569,37533.9382541624,18766.9691270812
2023-02-01,Urbano,2807.58082918249,5955.99496964697,4701.03554448373,11230.32331673,18804.1421779349,37789.9834875274,18894.9917437637
2023-03-01,Urbano,2807.72424698669,5943.41506372295,4713.62832513879,11230.8969879467,18854.5133005552,37830.2666198361,18915.133309918
2023-04-01,Urbano,2822.82686174388,5850.11837366597,4712.67377033695,11291.3074469755,18850.6950813478,37791.7269470888,18895.8634735444
2023-05-01,Urbano,2815.64824941283,5735.7695961443,4702.43066304026,11262.5929976513,18809.7226521611,37598.4895082545,18799.2447541273
2023-06-01,Urbano,2826.21708474411,5709.68554630999,4707.20343704947,11304.8683389764,18828.8137481979,37635.5360151585,18817.7680075793
2023-07-01,Urbano,2866.74551271933,5705.78320814581,4729.89247041631,11466.9820508773,18919.5698816653,37896.9518977228,18948.4759488614
2023-08-01,Urbano,2873.54269694026,5747.78468996562,4756.0693001745,11494.1707877611,19024.277200698,38079.5443123459,19039.772156173
2023-09-01,Urbano,2876.01207800253,5773.4579673616,4777.17964675369,11504.0483120101,19108.7185870147,38205.5361097058,19102.7680548529
2023-10-01,Urbano,2859.63743476226,5884.26383260262,4795.13261975755,11438.549739049,19180.5304790302,38328.5112532159,19164.255626608
2023-11-01,Urbano,2870.71207918579,6002.51494828848,4825.82522800137,11482.8483167432,19303.3009120055,38628.097385889,19314.0486929445
2023-12-01,Urbano,2904.03735718083,6017.7135285069,4859.89549169786,11616.1494287233,19439.5819667914,38927.1171702228,19463.5585851114
2024-01-01,Urbano,2954.0968938096,6055.76132560773,4903.29102153542,11816.3875752384,19613.1640861417,39359.5786363372,19679.7893181686
2024-02-01,Urbano,2935.90419767645,6125.13052113166,4907.91694095973,11743.6167907058,19631.6677638389,39375.4358294602,19687.7179147301
2024-03-01,Urbano,2950.08854671407,6133.24327678878,4922.01498111,11800.3541868563,19688.05992444,39502.7402574893,19751.3701287447
2024-04-01,Urbano,2975.96776401562,6058.48269301171,4931.96437923688,11903.8710560625,19727.8575169475,39574.7218293228,19787.3609146614
2024-05-01,Urbano,2974.77312817602,5940.5396566546,4922.82268132694,11899.0925127041,19691.2907253078,39407.4690393997,19703.7345196999
2024-06-01,Urbano,3025.62374627411,5955.1734247703,4941.43649996285,12102.4949850964,19765.7459998514,39714.5851302041,19857.292565102
2024-07-01,Urbano,3078.4504240014,6012.6302195825,4993.1660274934,12313.8016960056,19972.6641099736,40214.0508268398,20107.0254134199
2024-08-01,Urbano,3028.41785540182,6027.77745324612,4993.53316395565,12113.6714216073,19974.1326558226,40021.3606072098,20010.6803036049
2024-09-01,Urbano,3013.55161348006,6041.89775581391,4995.9929782527,12054.2064539202,19983.9719130108,39984.0799288822,19992.0399644411
2024-10-01,Urbano,3035.55428997283,6095.40086590712,5023.45478562875,12142.2171598913,20093.819142515,40248.0090267292,20124.0045133646
2024-11-01,Urbano,3032.40826976988,6190.70007160098,5045.33611877866,12129.6330790795,20181.3444751146,40426.7615070849,20213.3807535424
2024-12-01,Urbano,3029.11768566814,6209.54425720962,5064.61078304661,12116.4707426726,20258.4431321864,40513.681038672,20256.840519336
2025-01-01,Urbano,3045.76692601397,6238.86313999582,5079.07595965912,12183.0677040559,20316.3038386365,40675.1464168226,20337.5732084113
2025-02-01,Urbano,3059.59448841847,6262.79063452887,5093.13728616317,12238.3779536739,20372.5491446527,40817.4036194982,20408.7018097491
2025-03-01,Urbano,3086.94599937196,6279.27287861709,5109.1077222709,12347.7839974878,20436.4308890836,41016.662153448,20508.331076724
2025-04-01,Urbano,3121.21656268894,6243.07355748876,5125.95928588802,12484.8662507557,20503.8371435521,41193.3657993864,20596.6828996932
2025-05-01,Urbano,3183.85400990028,6187.87601108742,5140.35103520809,12735.4160396011,20561.4041408324,41458.931001097,20729.4655005485
2025-06-01,Urbano,3189.60180095653,6199.17225314165,5154.77949817439,12758.4072038261,20619.1179926976,41555.5323221486,20777.7661610743
2025-07-01,Urbano,3194.51046679491,6214.01140747652,5168.54711550864,12778.0418671796,20674.1884620345,41649.5538235252,20824.7769117626
2025-08-01,Urbano,3184.34903431862,6227.97767037993,5171.74120273018,12737.3961372745,20686.9648109207,41634.9555495039,20817.477774752
2025-09-01,Urbano,3187.48855280341,6236.24446570144,5183.85670598433,12749.9542112137,20735.4268239373,41707.706775895,20853.8533879475
2025-10-01,Urbano,3177.5539640185,6304.22730424598,5202.61737920513,12710.215856074,20810.4695168205,41816.1583109975,20908.0791554988
2025-11-01,Urbano,3197.89234506365,6391.00298184437,5237.01806571764,12791.5693802546,20948.0722628706,42137.176856218,21068.588428109
2025-12-01,Urbano,3200.80010498272,6401.47767902193,5251.59338326884,12803.2004199309,21006.3735330753,42221.6042136295,21110.8021068148
2026-01-01,Urbano,3227.35503471192,6420.62994395933,5271.6390341075,12909.4201388477,21086.55613643,42437.4365301989,21218.7182650994
2026-02-01,Urbano,3260.16139435476,6434.8529396367,5298.03614574304,13040.645577419,21192.1445829722,42701.0252550293,21350.5126275146
2026-03-01,Urbano,3329.14152785343,6469.2551313473,5343.45092612295,13316.5661114137,21373.8037044918,43217.6061946155,21608.8030973077
2026-04-01,Urbano,3306.44494713294,6428.17788751374,5353.98774258943,13225.7797885317,21415.9509703577,43123.4040787234,21561.7020393617
2026-05-01,Urbano,3278.06980699567,6381.34982954348,5342.82679413713,13112.2792279827,21371.3071765485,42908.1830457784,21454.0915228892
