nom_ent,cve_ent,ambito,rural,date,canasta_alimentos,vivienda_mensual,NANV,alimentos_familiar,nanv_familiar,ingreso_digno_familiar,salario_digno
Ciudad de México,9,Urbano,0,2019-02-01,2161.31743158702,8108.47794523891,4071.82894944929,8645.2697263481,16287.3157977972,34693.1166428534,17346.5583214267
Ciudad de México,9,Urbano,0,2019-03-01,2165.19845446654,8135.15869165283,4085.57211194097,8660.79381786615,16342.2884477639,34795.153005147,17397.5765025735
Ciudad de México,9,Urbano,0,2019-04-01,2173.97759866909,8137.30908016977,4102.73120499416,8695.91039467635,16410.9248199766,34906.3515095639,17453.175754782
Ciudad de México,9,Urbano,0,2019-05-01,2202.81390983316,8147.58315863961,4111.94627348569,8811.25563933263,16447.7850939428,35076.9550865108,17538.4775432554
Ciudad de México,9,Urbano,0,2019-06-01,2232.34560624734,8127.75179787225,4120.6052602579,8929.38242498937,16482.4210410316,35216.5330270879,17608.266513544
Ciudad de México,9,Urbano,0,2019-07-01,2245.59906649368,8132.92865911674,4134.03066176712,8982.39626597473,16536.1226470685,35334.0199507679,17667.009975384
Ciudad de México,9,Urbano,0,2019-08-01,2196.6011988542,8150.68927538631,4123.62398959134,8786.40479541681,16494.4959583653,35103.1695306269,17551.5847653134
Ciudad de México,9,Urbano,0,2019-09-01,2194.1243606825,8170.60028017282,4136.21526852157,8776.49744273,16544.8610740863,35166.5567368386,17583.2783684193
Ciudad de México,9,Urbano,0,2019-10-01,2179.6872295779,8233.59869931733,4145.66865774995,8718.74891831162,16582.6746309998,35211.7733610602,17605.8866805301
Ciudad de México,9,Urbano,0,2019-11-01,2203.50761524149,8268.24384764586,4168.70632897878,8814.03046096597,16674.8253159151,35444.9546057533,17722.4773028767
Ciudad de México,9,Urbano,0,2019-12-01,2222.34801675153,8304.6411643956,4196.78845580426,8889.39206700614,16787.1538232171,35680.2464073497,17840.1232036749
Ciudad de México,9,Urbano,0,2020-01-01,2232.97356557968,8319.45495195676,4212.7162250504,8931.89426231874,16850.8649002016,35807.3248202009,17903.6624101005
Ciudad de México,9,Urbano,0,2020-02-01,2273.27881563006,8332.51657109671,4239.13010671793,9093.11526252024,16956.5204268717,36101.2598735131,18050.6299367566
Ciudad de México,9,Urbano,0,2020-03-01,2305.37497115148,8343.7463777963,4238.21654389334,9221.49988460591,16952.8661755734,36244.0180598744,18122.0090299372
Ciudad de México,9,Urbano,0,2020-04-01,2281.64909879707,8362.78129837221,4205.12968159401,9126.5963951883,16820.518726376,36025.3912409334,18012.6956204667
Ciudad de México,9,Urbano,0,2020-05-01,2308.06524850234,8372.49786870802,4234.32397185812,9232.26099400934,16937.2958874325,36269.1574876574,18134.5787438287
Ciudad de México,9,Urbano,0,2020-06-01,2296.92029962444,8415.1870629703,4245.92224771815,9187.68119849777,16983.6889908726,36315.8851149577,18157.9425574789
Ciudad de México,9,Urbano,0,2020-07-01,2299.87156735013,8454.21263235186,4269.95292201719,9199.48626940051,17079.8116880688,36470.1861193122,18235.0930596561
Ciudad de México,9,Urbano,0,2020-08-01,2310.31151262431,8469.10606393216,4282.94140217551,9241.24605049724,17131.765608702,36584.223609288,18292.111804644
Ciudad de México,9,Urbano,0,2020-09-01,2331.81761270777,8459.07091751976,4295.41352073732,9327.27045083107,17181.6540829493,36716.3952238651,18358.1976119326
Ciudad de México,9,Urbano,0,2020-10-01,2336.94169274101,8501.76011178204,4311.73849121154,9347.76677096405,17246.9539648462,36851.3048899719,18425.6524449859
Ciudad de México,9,Urbano,0,2020-11-01,2339.90948042973,8523.74186106635,4298.39252994794,9359.63792171891,17193.5701197918,36830.7973977059,18415.3986988529
Ciudad de México,9,Urbano,0,2020-12-01,2347.45261531643,8558.9445175289,4315.78994373799,9389.81046126571,17263.159774952,36972.5104914339,18486.2552457169
Ciudad de México,9,Urbano,0,2021-01-01,2375.84052310335,8653.95983237012,4348.16184382677,9503.36209241339,17392.6473753071,37327.4677650951,18663.7338825476
Ciudad de México,9,Urbano,0,2021-02-01,2392.95276524374,8688.60498069864,4369.84903088011,9571.81106097494,17479.3961235204,37526.8027734537,18763.4013867269
Ciudad de México,9,Urbano,0,2021-03-01,2414.87293479345,8759.32886970032,4409.21167258316,9659.4917391738,17636.8466903326,37858.4506641671,18929.2253320835
Ciudad de México,9,Urbano,0,2021-04-01,2432.92632464572,8776.53197783587,4432.01102307513,9731.70529858287,17728.0440923005,38048.0954371552,19024.0477185776
Ciudad de México,9,Urbano,0,2021-05-01,2460.94977519127,8770.63832041906,4462.51607739192,9843.79910076507,17850.0643095677,38287.7268172894,19143.8634086447
Ciudad de México,9,Urbano,0,2021-06-01,2456.2432753366,8807.11528118795,4480.86677412937,9824.97310134642,17923.4670965175,38383.3332530044,19191.6666265022
Ciudad de México,9,Urbano,0,2021-07-01,2474.01577032465,8862.30858645615,4494.96741772632,9896.06308129861,17979.8696709053,38575.153405593,19287.5767027965
Ciudad de México,9,Urbano,0,2021-08-01,2490.34291428475,8649.49976729794,4489.88324200685,9961.37165713899,17959.5329680274,38398.9246120876,19199.4623060438
Ciudad de México,9,Urbano,0,2021-09-01,2492.03692957768,8713.21498261477,4514.54943827082,9968.14771831073,18058.1977530833,38576.5384767092,19288.2692383546
Ciudad de México,9,Urbano,0,2021-10-01,2492.02861406496,8804.40738453698,4530.99356911346,9968.11445625984,18123.9742764539,38741.3209231132,19370.6604615566
Ciudad de México,9,Urbano,0,2021-11-01,2551.36138252654,8833.47745152529,4576.5128298518,10205.4455301061,18306.0513194072,39212.2230160906,19606.1115080453
Ciudad de México,9,Urbano,0,2021-12-01,2577.29788887707,8746.34689457952,4595.85652965945,10309.1915555083,18383.4261186378,39310.9127971619,19655.4563985809
Ciudad de México,9,Urbano,0,2022-01-01,2635.35325850744,8778.52307831452,4620.9199271515,10541.4130340297,18483.679708606,39693.7966119978,19846.8983059989
Ciudad de México,9,Urbano,0,2022-02-01,2671.5971801498,8851.55664387144,4652.8946260122,10686.3887205992,18611.5785040488,40057.0000619454,20028.5000309727
Ciudad de México,9,Urbano,0,2022-03-01,2683.76668785978,8924.82914148579,4688.60301641688,10735.0667514391,18754.4120656675,40335.0233565221,20167.511678261
Ciudad de México,9,Urbano,0,2022-04-01,2702.47023254467,8926.97953000273,4715.89074078619,10809.8809301787,18863.5629631448,40530.4445944925,20265.2222972463
Ciudad de México,9,Urbano,0,2022-05-01,2718.16642515215,8935.42179603221,4731.73906978671,10872.6657006086,18926.9562791469,40671.795964577,20335.8979822885
Ciudad de México,9,Urbano,0,2022-06-01,2777.76268824507,8960.35037402492,4781.11118243746,11111.0507529803,19124.4447297498,41155.6381495928,20577.8190747964
Ciudad de México,9,Urbano,0,2022-07-01,2778.11938557056,8990.05759316639,4810.50407331561,11112.4775422823,19242.0162932624,41311.7790001466,20655.8895000733
Ciudad de México,9,Urbano,0,2022-08-01,2779.89846758007,9014.90652713996,4832.82678233389,11119.5938703203,19331.3071293355,41439.0979031356,20719.5489515678
Ciudad de México,9,Urbano,0,2022-09-01,2809.01117149172,9005.9863969956,4862.37855370328,11236.0446859669,19449.5142148131,41676.1225626644,20838.0612813322
Ciudad de México,9,Urbano,0,2022-10-01,2831.75841649557,8957.08496923994,4875.56563447564,11327.0336659823,19502.2625379026,41775.700231781,20887.8501158905
Ciudad de México,9,Urbano,0,2022-11-01,2833.33077676686,8941.31545344902,4883.35077854607,11333.3231070675,19533.4031141843,41798.4437584358,20899.2218792179
Ciudad de México,9,Urbano,0,2022-12-01,2844.43316680107,8921.96195679653,4903.21083995023,11377.7326672043,19612.8433598009,41908.1648829918,20954.0824414959
Ciudad de México,9,Urbano,0,2023-01-01,2905.56839183938,8952.22668407203,4935.26497905654,11622.2735673575,19741.0599162262,42331.3381760385,21165.6690880193
Ciudad de México,9,Urbano,0,2023-02-01,2938.56659278674,8994.67694627687,4960.72557777668,11754.2663711469,19842.9023111067,42621.437909957,21310.7189549785
Ciudad de México,9,Urbano,0,2023-03-01,2920.46215654621,8972.29697689683,4969.98036639102,11681.8486261849,19879.9214655641,42560.770422078,21280.385211039
Ciudad de México,9,Urbano,0,2023-04-01,2957.43304834676,8954.53636062726,4989.04602533901,11829.732193387,19956.184101356,42777.4752881388,21388.7376440694
Ciudad de México,9,Urbano,0,2023-05-01,2945.75820228211,8955.8106649336,4994.05076081286,11783.0328091284,19976.2030432514,42750.7988431791,21375.3994215896
Ciudad de México,9,Urbano,0,2023-06-01,2958.08901377249,8927.05917402188,5000.4854207078,11832.35605509,20001.9416828312,42799.4247575402,21399.7123787701
Ciudad de México,9,Urbano,0,2023-07-01,2999.81508995367,8932.15639124723,5025.11189684896,11999.2603598147,20100.4475873959,43083.4575553806,21541.7287776903
Ciudad de México,9,Urbano,0,2023-08-01,2996.14073396972,8993.96015010455,5049.18229127081,11984.5629358789,20196.7291650832,43234.01486362,21617.00743181
Ciudad de México,9,Urbano,0,2023-09-01,2995.07093407228,9031.2335510649,5068.40683071003,11980.2837362891,20273.6273228401,43349.4018407038,21674.7009203519
Ciudad de México,9,Urbano,0,2023-10-01,2953.01415467872,9080.77213097373,5062.48853241159,11812.0566187149,20249.9541296464,43199.9220233017,21599.9610116509
Ciudad de México,9,Urbano,0,2023-11-01,2968.04955496177,9098.29381518586,5079.48874497355,11872.1982198471,20317.9549798942,43352.8693656735,21676.4346828368
Ciudad de México,9,Urbano,0,2023-12-01,3019.42296717098,9122.82417308284,5127.66925394005,12077.6918686839,20510.6770157602,43796.7527104033,21898.3763552016
Ciudad de México,9,Urbano,0,2024-01-01,3061.7189546565,9183.27398361468,5173.86375676612,12246.875818626,20695.4550270645,44231.8850707704,22115.9425353852
Ciudad de México,9,Urbano,0,2024-02-01,3033.75520093322,9278.20965443676,5159.60423267794,12135.0208037329,20638.4169307117,44154.2297583254,22077.1148791627
Ciudad de México,9,Urbano,0,2024-03-01,3055.83015699754,9293.97917022767,5175.96892327496,12223.3206279902,20703.8756930998,44332.2342658836,22166.1171329418
Ciudad de México,9,Urbano,0,2024-04-01,3092.26529826041,9307.59829750165,5207.98334225847,12369.0611930416,20831.9333690339,44634.022502556,22317.011251278
Ciudad de México,9,Urbano,0,2024-05-01,3084.30718311539,9315.88127549283,5215.2918448552,12337.2287324616,20861.1673794208,44639.991256744,22319.995628372
Ciudad de México,9,Urbano,0,2024-06-01,3153.36104947563,9350.20784774477,5245.91605954041,12613.4441979025,20983.6642381617,45094.6820979994,22547.3410489997
Ciudad de México,9,Urbano,0,2024-07-01,3191.5594056051,9436.30303244164,5296.67837648945,12766.2376224204,21186.7135059578,45558.7168688608,22779.3584344304
Ciudad de México,9,Urbano,0,2024-08-01,3138.6350910227,9457.40869751534,5288.29743057689,12554.5403640908,21153.1897223076,45323.3957231094,22661.6978615547
Ciudad de México,9,Urbano,0,2024-09-01,3121.50609985291,9483.85051187183,5288.45631106812,12486.0243994116,21153.8252442725,45279.8851633338,22639.9425816669
Ciudad de México,9,Urbano,0,2024-10-01,3138.14459488852,9495.71747072459,5303.35135712124,12552.5783795541,21213.405428485,45424.7863427018,22712.3931713509
Ciudad de México,9,Urbano,0,2024-11-01,3126.12534476065,9541.91100182929,5303.07331626159,12504.5013790426,21212.2932650463,45421.6409282141,22710.8204641071
Ciudad de México,9,Urbano,0,2024-12-01,3122.00534476117,9575.36148987062,5326.74650945534,12488.0213790447,21306.9860378214,45538.8873520735,22769.4436760368
Ciudad de México,9,Urbano,0,2025-01-01,3139.56796724069,9619.9621405924,5341.24435428038,12558.2718689628,21364.9774171215,45720.3719980105,22860.1859990053
Ciudad de México,9,Urbano,0,2025-02-01,3166.35856725517,9652.37725638484,5362.65350047406,12665.4342690207,21450.6140018963,45956.8468036669,22978.4234018334
Ciudad de México,9,Urbano,0,2025-03-01,3200.8217999675,9679.61551093279,5380.05091426411,12803.28719987,21520.2036570564,46203.2616862522,23101.6308431261
Ciudad de México,9,Urbano,0,2025-04-01,3239.62971093973,9709.32273007426,5407.6961197387,12958.5188437589,21630.7844789548,46513.5573554274,23256.7786777137
Ciudad de México,9,Urbano,0,2025-05-01,3306.7288275486,9737.83528892854,5445.50967665222,13226.9153101944,21782.0387066089,46984.1287710184,23492.0643855092
Ciudad de México,9,Urbano,0,2025-06-01,3304.30403561588,9765.7903396488,5461.95380749486,13217.2161424635,21847.8152299795,47072.3627976964,23536.1813988482
Ciudad de México,9,Urbano,0,2025-07-01,3298.86341711265,9798.44438749867,5474.86284740757,13195.4536684506,21899.4513896303,47138.0169178586,23569.0084589293
Ciudad de México,9,Urbano,0,2025-08-01,3281.84562944011,9824.32869372113,5474.10816507421,13127.3825177604,21896.4326602968,47090.5510653673,23545.2755326837
Ciudad de México,9,Urbano,0,2025-09-01,3291.14470169953,9846.78830712032,5496.11311311002,13164.5788067981,21984.4524524401,47245.6105446765,23622.8052723382
