nom_ent,cve_ent,ambito,clave_enigh,nombre_enigh,codigo,serie_api,es_comida_fuera
Colima,6,Urbano,111111,Desayunos,25,897237,TRUE
Colima,6,Urbano,111112,Comidas,25,897237,TRUE
Colima,6,Urbano,111113,Cenas,25,897237,TRUE
Colima,6,Urbano,111124,Otros alimentos cocinados,269,897242,FALSE
Colima,6,Urbano,111126,Pollos rostizados,267,897241,FALSE
Colima,6,Urbano,181124,"Pierna, muslo o pechuga de pollo con hueso",022,897126,FALSE
Colima,6,Urbano,181125,"Pierna, muslo o pechuga de pollo sin hueso",022,897126,FALSE
Colima,6,Urbano,181126,"Chorizo de pollo, jamón de pollo, pavo y otras aves; nuggets de pollo y otras aves, salchicha, mortadela, tocino de pollo, pavo y otras aves, etcétera",019,897134,FALSE
Colima,6,Urbano,181134,Plátano verde y Tabasco,055,897181,FALSE
Chiapas,7,Urbano,011111,Arroz en grano,001,897552,FALSE
Chiapas,7,Urbano,011131,Tortillas de maíz,014,897538,FALSE
Chiapas,7,Urbano,011132,Tortillas de harina de trigo,015,897550,FALSE
Chiapas,7,Urbano,011133,Pan,008,897541,FALSE
Chiapas,7,Urbano,011134,Pan de caja,009,897542,FALSE
Chiapas,7,Urbano,011135,Galletas dulces,004,897547,FALSE
Chiapas,7,Urbano,011137,Pan dulce a granel,010,897543,FALSE
Chiapas,7,Urbano,011150,"Spaghetti, pastas italianas y pastas para sopa",011,897549,FALSE
Chiapas,7,Urbano,011192,Tostadas,016,897539,FALSE
Chiapas,7,Urbano,011221,Bistec de res,018,897561,FALSE
Chiapas,7,Urbano,011224,Molida de res,018,897561,FALSE
Chiapas,7,Urbano,01122F,"Pollo entero o en piezas (excepto pierna, muslo y pechuga)",022,897556,FALSE
Chiapas,7,Urbano,011231,Jamón de puerco,021,897566,FALSE
Chiapas,7,Urbano,011252,Chorizo de puerco,020,897565,FALSE
Chiapas,7,Urbano,011411,Leche entera fresca,034,897578,FALSE
Chiapas,7,Urbano,011433,Crema,030,897585,FALSE
Chiapas,7,Urbano,011451,Queso fresco,037,897587,FALSE
Chiapas,7,Urbano,011454,Queso Oaxaca o asadero,039,897589,FALSE
Chiapas,7,Urbano,011460,Yogurt y bebidas fermentadas a base de leche,041,897591,FALSE
Chiapas,7,Urbano,011481,Huevo de gallina,031,897595,FALSE
Chiapas,7,Urbano,011512,Otros aceites vegetales comestibles,042,897598,FALSE
Chiapas,7,Urbano,011592,Chicharrón,019,897564,FALSE
Chiapas,7,Urbano,011611,Aguacate,045,897601,FALSE
Chiapas,7,Urbano,011616,"Otros plátanos: Chiapas, dominico, guineo, manzano, dorado, portalimón y Roatán",055,897611,FALSE
Chiapas,7,Urbano,011621,Limón,048,897604,FALSE
Chiapas,7,Urbano,011633,Manzana y perón,049,897605,FALSE
Chiapas,7,Urbano,011712,Lechuga,071,897623,FALSE
Chiapas,7,Urbano,011721,Calabaza,060,897616,FALSE
Chiapas,7,Urbano,011722,Chayote,062,897618,FALSE
Chiapas,7,Urbano,011725,Chile serrano,065,897620,FALSE
Chiapas,7,Urbano,011727,Jitomate (tomate rojo),070,897622,FALSE
Chiapas,7,Urbano,011728,Pepino,075,897626,FALSE
Chiapas,7,Urbano,011729,Tomate verde,076,897627,FALSE
