clave,precio,nom_ent,cantidad,cantidad_se,cantidad_cv,cantidad_low,cantidad_upp,valor
011761,40,México,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,49,Nayarit,1,0.127412117076647,0.127412117076647,1,1.5,49
011761,35,Nuevo León,1,0.127412117076647,0.127412117076647,1,1.5,35
011761,40,Oaxaca,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,39.3939393939394,Puebla,1,0.127412117076647,0.127412117076647,1,1.5,39.3939393939394
011761,40,Querétaro,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,36,Quintana Roo,1,0.127412117076647,0.127412117076647,1,1.5,36
011761,40,San Luis Potosí,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,40,Sinaloa,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,36,Sonora,1,0.127412117076647,0.127412117076647,1,1.5,36
011761,40,Tabasco,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,36,Tamaulipas,1,0.127412117076647,0.127412117076647,1,1.5,36
011761,36,Tlaxcala,1,0.127412117076647,0.127412117076647,1,1.5,36
011761,38,Veracruz,1,0.127412117076647,0.127412117076647,1,1.5,38
011761,40,Yucatán,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,38,Zacatecas,1,0.127412117076647,0.127412117076647,1,1.5,38
011796,150.214592274678,Aguascalientes,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,22.9828326180258
011796,208.695652173913,Baja California,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,31.9304347826087
011796,229.885057471264,Baja California Sur,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,35.1724137931035
011796,174.418604651163,Campeche,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,26.6860465116279
011796,159.090909090909,Chiapas,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,24.3409090909091
011796,200,Chihuahua,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,30.6
011796,166.666666666667,Ciudad de México,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,25.5
011796,224.719101123596,Coahuila,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,34.3820224719101
011796,153.225806451613,Colima,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,23.4435483870968
011796,206.896551724138,Durango,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,31.6551724137931
011796,142.857142857143,Guanajuato,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,21.8571428571429
011796,142.857142857143,Guerrero,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,21.8571428571429
011796,171.428571428571,Hidalgo,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,26.2285714285714
011796,150.15015015015,Jalisco,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,22.972972972973
011796,151.515151515152,Michoacán,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,23.1818181818182
011796,171.428571428571,Morelos,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,26.2285714285714
011796,128.205128205128,México,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,19.6153846153846
011796,150.375939849624,Nayarit,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,23.0075187969925
011796,200,Nuevo León,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,30.6
011796,146.341463414634,Oaxaca,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,22.390243902439
011796,161.290322580645,Puebla,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,24.6774193548387
011796,200,Querétaro,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,30.6
011796,181.818181818182,Quintana Roo,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,27.8181818181818
011796,142.857142857143,San Luis Potosí,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,21.8571428571429
011796,178.571428571429,Sinaloa,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,27.3214285714286
011796,180,Sonora,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,27.54
011796,171.428571428571,Tabasco,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,26.2285714285714
011796,179.487179487179,Tamaulipas,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,27.4615384615385
011796,128.571428571429,Tlaxcala,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,19.6714285714286
011796,163.934426229508,Veracruz,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,25.0819672131148
011796,155.172413793103,Yucatán,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,23.7413793103448
011796,153.846153846154,Zacatecas,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,23.5384615384615
011810,28,Aguascalientes,1,0.254796722743659,0.254796722743659,1,2,28
011810,32,Baja California,1,0.254796722743659,0.254796722743659,1,2,32
011810,33,Baja California Sur,1,0.254796722743659,0.254796722743659,1,2,33
011810,30,Campeche,1,0.254796722743659,0.254796722743659,1,2,30
011810,26,Chiapas,1,0.254796722743659,0.254796722743659,1,2,26
011810,32,Chihuahua,1,0.254796722743659,0.254796722743659,1,2,32
011810,26,Ciudad de México,1,0.254796722743659,0.254796722743659,1,2,26
011810,30,Coahuila,1,0.254796722743659,0.254796722743659,1,2,30
011810,28,Colima,1,0.254796722743659,0.254796722743659,1,2,28
011810,30,Durango,1,0.254796722743659,0.254796722743659,1,2,30
011810,28,Guanajuato,1,0.254796722743659,0.254796722743659,1,2,28
011810,30,Guerrero,1,0.254796722743659,0.254796722743659,1,2,30
