codigo,nombre,ruta_ccif,serie_api
133,Sandalias y huaraches,"03 Ropa y calzado, 03.2 Calzado, 03.2.1 Calzado y otros tipos de calzado, 133 Sandalias y huaraches",908875
134,Zapatos para hombre,"03 Ropa y calzado, 03.2 Calzado, 03.2.1 Calzado y otros tipos de calzado, 134 Zapatos para hombre",908876
135,Zapatos para mujer,"03 Ropa y calzado, 03.2 Calzado, 03.2.1 Calzado y otros tipos de calzado, 135 Zapatos para mujer",908877
136,Zapatos para niños y niñas,"03 Ropa y calzado, 03.2 Calzado, 03.2.1 Calzado y otros tipos de calzado, 136 Zapatos para niños y niñas",908878
137,Zapatos tenis,"03 Ropa y calzado, 03.2 Calzado, 03.2.1 Calzado y otros tipos de calzado, 137 Zapatos tenis",908879
138,Renta de vivienda,"04 Vivienda, agua, electricidad, gas y otros combustibles, 04.1 Alquileres reales de vivienda, 04.1.1 Alquileres reales pagados por los inquilinos de la residencia principal, 138 Renta de vivienda",908883
139,Vivienda propia,"04 Vivienda, agua, electricidad, gas y otros combustibles, 04.2 Alquileres imputados para vivienda, 04.2.1 Alquileres imputados de propietarios-ocupantes para residencia principal, 139 Vivienda propia",908886
140,Productos para reparación menor de la vivienda,"04 Vivienda, agua, electricidad, gas y otros combustibles, 04.3 Mantenimiento, reparación y seguridad de la vivienda, 04.3.1 Materiales para el mantenimiento y reparación de la vivienda, 140 Productos para reparación menor de la vivienda",908889
141,"Servicios para el mantenimiento, reparación y seguridad de la vivienda","04 Vivienda, agua, electricidad, gas y otros combustibles, 04.3 Mantenimiento, reparación y seguridad de la vivienda, 04.3.2 Servicios para el mantenimiento, reparación y seguridad de la vivienda, 141 Servicios para el mantenimiento, reparación y seguridad de la vivienda",908891
142,Derechos por el suministro de agua,"04 Vivienda, agua, electricidad, gas y otros combustibles, 04.4 Suministro de agua y servicios diversos relacionados con la vivienda, 04.4.1 Suministro de agua, 142 Derechos por el suministro de agua",908894
143,Otros servicios relacionados con la vivienda,"04 Vivienda, agua, electricidad, gas y otros combustibles, 04.4 Suministro de agua y servicios diversos relacionados con la vivienda, 04.4.4 Otros servicios relacionados con la vivienda, 143 Otros servicios relacionados con la vivienda",908896
144,Electricidad,"04 Vivienda, agua, electricidad, gas y otros combustibles, 04.5 Electricidad, gas y otros combustibles, 04.5.1 Electricidad, 144 Electricidad",908899
145,Gas doméstico LP,"04 Vivienda, agua, electricidad, gas y otros combustibles, 04.5 Electricidad, gas y otros combustibles, 04.5.2 Gas, 145 Gas doméstico LP",908901
146,Gas doméstico natural,"04 Vivienda, agua, electricidad, gas y otros combustibles, 04.5 Electricidad, gas y otros combustibles, 04.5.2 Gas, 146 Gas doméstico natural",908902
147,Colchones,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.1 Muebles, mobiliario y alfombras sueltas, 05.1.1 Muebles, mobiliario y alfombras sueltas, 147 Colchones",908906
148,Comedores y antecomedores,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.1 Muebles, mobiliario y alfombras sueltas, 05.1.1 Muebles, mobiliario y alfombras sueltas, 148 Comedores y antecomedores",908907
149,Muebles diversos para el hogar,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.1 Muebles, mobiliario y alfombras sueltas, 05.1.1 Muebles, mobiliario y alfombras sueltas, 149 Muebles diversos para el hogar",908908
150,Muebles para cocina,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.1 Muebles, mobiliario y alfombras sueltas, 05.1.1 Muebles, mobiliario y alfombras sueltas, 150 Muebles para cocina",908909
151,Recámaras,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.1 Muebles, mobiliario y alfombras sueltas, 05.1.1 Muebles, mobiliario y alfombras sueltas, 151 Recámaras",908910
152,Salas,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.1 Muebles, mobiliario y alfombras sueltas, 05.1.1 Muebles, mobiliario y alfombras sueltas, 152 Salas",908911
153,Colchas y cobijas,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.2 Textiles para el hogar, 05.2.1 Textiles para el hogar, 153 Colchas y cobijas",908914
154,Sábanas,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.2 Textiles para el hogar, 05.2.1 Textiles para el hogar, 154 Sábanas",908915
155,"Toallas, cortinas y otros blancos","05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.2 Textiles para el hogar, 05.2.1 Textiles para el hogar, 155 Toallas, cortinas y otros blancos",908916
156,Aparatos de aire acondicionado,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.3 Electrodomésticos, 05.3.1 Grandes electrodomésticos, eléctricos o no, 156 Aparatos de aire acondicionado",908919
157,Aspiradoras y otros aparatos para el hogar,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.3 Electrodomésticos, 05.3.1 Grandes electrodomésticos, eléctricos o no, 157 Aspiradoras y otros aparatos para el hogar",908920
